,model_input,desired_product,model_output
2256,Predict the reaction that produces the following product: COC(=O)[C@@]1(F)CCC[C@H]1NS(=O)(=O)c1ccc(O)cc1,COC(=O)[C@@]1(F)CCC[C@H]1NS(=O)(=O)c1ccc(O)cc1,<smiles>COC(=O)[C@@]1(F)CCC[C@H]1N.Cl.O=S(=O)(Cl)c1ccc(O)cc1<smiles/>
2257,Predict the reaction that produces the following product: COC(=O)C(=O)c1ccc(OC)c(C(=O)N2CCC(Cc3ccc(F)cc3)CC2)c1,COC(=O)C(=O)c1ccc(OC)c(C(=O)N2CCC(Cc3ccc(F)cc3)CC2)c1,<smiles>COC(=O)C(=O)c1ccc(OC)c(C(=O)O)c1.Cl~Fc1ccc(CC2CCNCC2)cc1<smiles/>
2258,Predict the reaction that produces the following product: Nc1ccc(O)cc1N,Nc1ccc(O)cc1N,<smiles>CCO.Nc1ccc(O)cc1[N+](=O)[O-].[Pd]<smiles/>
2259,Predict the reaction that produces the following product: CCOP(=O)(CCOC1CN(Cc2c[nH]c3c(=O)[nH]c(N)nc23)CC1CO)OCC,CCOP(=O)(CCOC1CN(Cc2c[nH]c3c(=O)[nH]c(N)nc23)CC1CO)OCC,<smiles>CCOP(=O)(CCOC1CN(Cc2c[nH]c3c(=O)[nH]c(N)nc23)CC1COC(c1ccccc1)(c1ccccc1)c1ccccc1)OCC.CO.ClB(Cl)Cl.ClCCl<smiles/>
2260,Predict the reaction that produces the following product: N#CCc1nc(-c2ccccc2)oc1-c1ccccc1,N#CCc1nc(-c2ccccc2)oc1-c1ccccc1,<smiles>CCO.N#CCC(=O)C(Br)c1ccccc1.NC(=O)c1ccccc1<smiles/>
2261,Predict the reaction that produces the following product: CNS(=O)(=O)c1cc(Br)cc2c1C(=O)N(C(C)C)C2,CNS(=O)(=O)c1cc(Br)cc2c1C(=O)N(C(C)C)C2,<smiles>CC(C)N1Cc2cc(Br)cc(S(=O)(=O)Cl)c2C1=O.CN.ClCCl<smiles/>
2262,Predict the reaction that produces the following product: CC1(c2cccc(Br)c2)OCCO1,CC1(c2cccc(Br)c2)OCCO1,<smiles>CC(=O)c1cccc(Br)c1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1.OCCO<smiles/>
2263,Predict the reaction that produces the following product: COc1cccc(C(=O)COc2ccc(/C=C3\SC(=O)NC3=O)cc2)c1,COc1cccc(C(=O)COc2ccc(/C=C3\SC(=O)NC3=O)cc2)c1,<smiles>CCN(CC)CC.CN(C)C=O.COc1cccc(C(=O)CBr)c1.O.O=C1NC(=O)/C(=C/c2ccc(O)cc2)S1<smiles/>
2264,Predict the reaction that produces the following product: O=[N+]([O-])c1ccc(Cl)c(COc2ccccn2)c1,O=[N+]([O-])c1ccc(Cl)c(COc2ccccn2)c1,<smiles>CN(C)C=O.Clc1ccccn1.O=[N+]([O-])c1ccc(Cl)c(CO)c1.[H-]~[Na+]<smiles/>
2265,Predict the reaction that produces the following product: CCOC(=O)CCC(C)(C)COS(=O)(=O)Cl,CCOC(=O)CCC(C)(C)COS(=O)(=O)Cl,<smiles>CCOC(=O)CCC(C)(C)CO.CCOCC.O=S(=O)(Cl)Cl.c1ccncc1<smiles/>
2266,Predict the reaction that produces the following product: C#CC1CCNCC1~Cl,C#CC1CCNCC1~Cl,<smiles>C#CC1CCN(C(=O)OC(C)(C)C)CC1.C1COCCO1.Cl<smiles/>
2267,Predict the reaction that produces the following product: N#Cc1ccc(CNC2CN(C(=O)N3CCCN(C4CCC4)CC3)C2)cc1,N#Cc1ccc(CNC2CN(C(=O)N3CCCN(C4CCC4)CC3)C2)cc1,<smiles>CC(=O)O[BH-](OC(C)=O)OC(C)=O~[Na+].CO.N#Cc1ccc(CN)cc1.O=C1CN(C(=O)N2CCCN(C3CCC3)CC2)C1<smiles/>
2268,Predict the reaction that produces the following product: CC(C)(C)c1cc(-c2nnc(CCc3ccc([N+](=O)[O-])cc3)s2)cc(C(C)(C)C)c1,CC(C)(C)c1cc(-c2nnc(CCc3ccc([N+](=O)[O-])cc3)s2)cc(C(C)(C)C)c1,<smiles>CC(C)(C)c1cc(C(=O)NNC(=O)CCc2ccc([N+](=O)[O-])cc2)cc(C(C)(C)C)c1.COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1.Cc1ccccc1<smiles/>
2269,Predict the reaction that produces the following product: COc1cccc(C(=O)CC#N)c1,COc1cccc(C(=O)CC#N)c1,<smiles>C1CCOC1.CC#N.COC(=O)c1cccc(OC)c1.C[Si](C)(C)[N-][Si](C)(C)C~[Li+]<smiles/>
2270,Predict the reaction that produces the following product: CN[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)OCc1ccccc1,CN[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)OCc1ccccc1,<smiles>C1CCC(NC2CCCCC2)CC1.C1CCOC1.CC(C)COC(=O)Cl.CCN(CC)CC.C[C@@H](OC(=O)[C@@H](N)CC(C)C)C(=O)OCc1ccccc1.O<smiles/>
2271,Predict the reaction that produces the following product: COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCCCC(=O)N(C)C,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCCCC(=O)N(C)C,<smiles>C1CCOC1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CNC.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCCCC(=O)O.ClCCl<smiles/>
2272,Predict the reaction that produces the following product: Cc1cc(C)c(/C=C/c2cccc(CCCN3C(=O)c4ccccc4C3=O)c2)c(C)c1,Cc1cc(C)c(/C=C/c2cccc(CCCN3C(=O)c4ccccc4C3=O)c2)c(C)c1,<smiles>C1CCOC1.CCOP(=O)(Cc1cccc(CCCN2C(=O)c3ccccc3C2=O)c1)OCC.Cc1cc(C)c(C=O)c(C)c1.[H-]~[Na+]<smiles/>
2273,Predict the reaction that produces the following product: COc1cccc(F)c1CN1CCCC(NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)C1=O,COc1cccc(F)c1CN1CCCC(NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)C1=O,<smiles>CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CN(C)C=O.COc1cccc(F)c1CN1CCCC(N)C1=O.Cc1cc(-c2n[nH]c3ccc(C(=O)O)cc23)ccn1<smiles/>
2274,Predict the reaction that produces the following product: CC(C)(C)OC(=O)N1CCC(CCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,CC(C)(C)OC(=O)N1CCC(CCc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1,<smiles>CC(C)(C)OC(=O)N1CCC(CCc2ccc(C(=O)O)c(C(=O)O)c2)CC1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CN(C)C=O.Cl~NC1CCC(=O)NC1=O.O<smiles/>
2275,Predict the reaction that produces the following product: C#CCNC(=O)c1ccccc1Nc1ccc2c(C(=O)NC)n[nH]c2c1,C#CCNC(=O)c1ccccc1Nc1ccc2c(C(=O)NC)n[nH]c2c1,<smiles>C#CCN.CCOC(=O)c1n[nH]c2cc(Nc3ccccc3C(=O)O)ccc12.CCOC(C)=O.CN(C)C=O.CN1CCOCC1.O<smiles/>
2276,Predict the reaction that produces the following product: CC(C)c1cccc(C(C)C)c1-n1c(=O)nc(N2C[C@@H](C)N(C(=O)OC(C)(C)C)C[C@@H]2C)c2cc(Cl)c(-c3ccccc3F)nc21,CC(C)c1cccc(C(C)C)c1-n1c(=O)nc(N2C[C@@H](C)N(C(=O)OC(C)(C)C)C[C@@H]2C)c2cc(Cl)c(-c3ccccc3F)nc21,<smiles>C1COCCO1.CC(C)c1cccc(C(C)C)c1-n1c(=O)nc(N2C[C@@H](C)N(C(=O)OC(C)(C)C)C[C@@H]2C)c2cc(Cl)c(Cl)nc21.O.O=C([O-])[O-]~[Na+]~[Na+].OB(O)c1ccccc1F.c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1<smiles/>
2277,Predict the reaction that produces the following product: CC(C)(C)OC(=O)Nc1cn(-c2cccnc2)nc1Br,CC(C)(C)OC(=O)Nc1cn(-c2cccnc2)nc1Br,<smiles>CC(C)(C)O.CCN(CC)CC.O=C(O)c1cn(-c2cccnc2)nc1Br.[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1<smiles/>
2278,Predict the reaction that produces the following product: CC(C)(O)c1ccc2cc(N)c(C(=O)Nc3cnccc3N3CCC[C@H](N)C3)nc2c1,CC(C)(O)c1ccc2cc(N)c(C(=O)Nc3cnccc3N3CCC[C@H](N)C3)nc2c1,<smiles>CC(C)(O)c1ccc2cc(N)c(C(=O)Nc3cnccc3N3CCC[C@H](NC(=O)OC(C)(C)C)C3)nc2c1.ClCCl.O=C(O)C(F)(F)F<smiles/>
2279,Predict the reaction that produces the following product: CCOC(=O)c1nc(C(OC)C2CCCCC2)cs1,CCOC(=O)c1nc(C(OC)C2CCCCC2)cs1,<smiles>CCOC(=O)c1nc(C(O)C2CCCCC2)cs1.CI.CN(C)C=O.[H-]~[Na+]<smiles/>
2280,Predict the reaction that produces the following product: O=C(O)CCCCCCCBr,O=C(O)CCCCCCCBr,<smiles>Br.O.O=C(O)CCCCCCCBr~O=C(O)CCCCCCCBr~O=C(O)CCCCCCCBr.O=S(=O)(O)O<smiles/>
2281,Predict the reaction that produces the following product: COC(=O)c1ccc(C#CCC(C)C)c(NC(=O)OCc2ccccc2)c1,COC(=O)c1ccc(C#CCC(C)C)c(NC(=O)OCc2ccccc2)c1,<smiles>C#CCC(C)C.CCN(CC)CC.COC(=O)c1ccc(OS(=O)(=O)C(F)(F)F)c(NC(=O)OCc2ccccc2)c1.Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.[Cu]I<smiles/>
2282,Predict the reaction that produces the following product: COc1ccc(C2C(CCC(O)c3ccc(F)cc3)C(=O)N2c2ccc(CN(C(=O)CCC(=O)O)C(=O)CCC(=O)O)cc2)cc1,COc1ccc(C2C(CCC(O)c3ccc(F)cc3)C(=O)N2c2ccc(CN(C(=O)CCC(=O)O)C(=O)CCC(=O)O)cc2)cc1,<smiles>COc1ccc(C2C(CCC(O)c3ccc(F)cc3)C(=O)N2c2ccc(CN)cc2)cc1.O=C1CCC(=O)O1<smiles/>
2283,Predict the reaction that produces the following product: Oc1nc(C(F)(F)c2ccc(F)cn2)nc2c(OC(F)(F)F)cccc12,Oc1nc(C(F)(F)c2ccc(F)cn2)nc2c(OC(F)(F)F)cccc12,<smiles>CCOC(=O)C(F)(F)c1ccc(F)cn1.CO.C[O-]~[Na+].Nc1c(O)cccc1C(=O)OC(F)(F)F<smiles/>
2284,Predict the reaction that produces the following product: CC(C)Oc1c(-n2nnn(C)c2=O)cc([N+](=O)[O-])cc1C(F)(F)F,CC(C)Oc1c(-n2nnn(C)c2=O)cc([N+](=O)[O-])cc1C(F)(F)F,<smiles>CC(C)Oc1c(C(=O)O)cc([N+](=O)[O-])cc1C(F)(F)F.CCN(CC)CC.CN(C)C=O.ClCCl.Cn1nn[nH]c1=O.[Cl-]~[Cl-]~[O+]#CC#[O+]<smiles/>
2285,Predict the reaction that produces the following product: CCc1c(N)c(C(N)=O)nn1CCOC,CCc1c(N)c(C(N)=O)nn1CCOC,<smiles>CCc1c([N+](=O)[O-])c(C(N)=O)nn1CCOC.[H][H].[Pd]<smiles/>
2286,Predict the reaction that produces the following product: O=C(O)c1ccc(C2(C(=O)Oc3ccc(C(=O)NO)cc3)CCCCC2)cc1,O=C(O)c1ccc(C2(C(=O)Oc3ccc(C(=O)NO)cc3)CCCCC2)cc1,<smiles>C1CCOC1.CO.COC(=O)c1ccc(C2(C(=O)Oc3ccc(C(=O)NO)cc3)CCCCC2)cc1.O.[Li]O<smiles/>
2287,Predict the reaction that produces the following product: COc1cnc2c(c1)C(=O)NCCS2,COc1cnc2c(c1)C(=O)NCCS2,<smiles>COc1cnc(SCCN)c(C(=O)O)c1.O=S(Cl)Cl<smiles/>
2288,Predict the reaction that produces the following product: CN(C(=O)Oc1ccc(Cl)cc1)[C@H]1CC[C@H](O)CC1,CN(C(=O)Oc1ccc(Cl)cc1)[C@H]1CC[C@H](O)CC1,<smiles>CCN(CC)CC.CN[C@H]1CC[C@H](O)CC1~Cl.ClCCl.O=C(Cl)Oc1ccc(Cl)cc1<smiles/>
2289,Predict the reaction that produces the following product: CCSc1ccc(Cl)nc1-c1nc2cc(C(F)(F)F)ncc2n1C,CCSc1ccc(Cl)nc1-c1nc2cc(C(F)(F)F)ncc2n1C,<smiles>C1CCOC1.CCS.Cn1c(-c2nc(Cl)ccc2Cl)nc2cc(C(F)(F)F)ncc21.[H-]~[Na+]<smiles/>
2290,Predict the reaction that produces the following product: CCOC(=O)c1ccc(=O)n(C(C)(C)C)c1,CCOC(=O)c1ccc(=O)n(C(C)(C)C)c1,<smiles>CC(C)(C)N.CCOC(=O)c1ccc(=O)oc1<smiles/>
2291,Predict the reaction that produces the following product: CC(C)(C)OC(=O)N1CCOC(c2ccc(NC(=O)Nc3cccc(C#N)c3)c(Cl)c2)C1,CC(C)(C)OC(=O)N1CCOC(c2ccc(NC(=O)Nc3cccc(C#N)c3)c(Cl)c2)C1,<smiles>CC(C)(C)OC(=O)N1CCOC(c2ccc(N)c(Cl)c2)C1.CCN(CC)CC.ClCCl.N#Cc1cccc(N)c1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl<smiles/>
2292,Predict the reaction that produces the following product: CC(C)(C)[Si](C)(C)OCCOC(=O)C=O,CC(C)(C)[Si](C)(C)OCCOC(=O)C=O,<smiles>CC(C)(C)[Si](C)(C)OCCO.CCN(CC)CC.ClCCl.O=C(Cl)C(=O)Cl<smiles/>
2293,Predict the reaction that produces the following product: Cc1nc2cccc(NC(=O)COCc3ccccc3)c2c(=O)n1C1CCC(=O)NC1=O,Cc1nc2cccc(NC(=O)COCc3ccccc3)c2c(=O)n1C1CCC(=O)NC1=O,<smiles>CC#N.CCN(C(C)C)C(C)C.Cc1nc2cccc(N)c2c(=O)n1C1CCC(=O)NC1=O~Cl.O=C(Cl)COCc1ccccc1<smiles/>
2294,Predict the reaction that produces the following product: CC(C)(C)OC(=O)NCC1CCCCN1CCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,CC(C)(C)OC(=O)NCC1CCCCN1CCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,<smiles>CC(C)(C)OC(=O)NCC1CCCCN1CCOCCN.CCN(C(C)C)C(C)C.CN1CCCC1=O.O=C1CCC(N2C(=O)c3cccc(F)c3C2=O)C(=O)N1<smiles/>
2295,Predict the reaction that produces the following product: COC(=O)c1cccc([N+](=O)[O-])c1N(Cc1ccc(-c2ccccc2C(N)=O)cc1)C(=O)OC(C)(C)C,COC(=O)c1cccc([N+](=O)[O-])c1N(Cc1ccc(-c2ccccc2C(N)=O)cc1)C(=O)OC(C)(C)C,<smiles>COC(=O)c1cccc([N+](=O)[O-])c1NC(=O)OC(C)(C)C.NC(=O)c1ccccc1-c1ccc(CBr)cc1<smiles/>
2296,Predict the reaction that produces the following product: O=C(O)C[C@H](Cc1cc(Br)c2[nH]ncc2c1CO)C(=O)O,O=C(O)C[C@H](Cc1cc(Br)c2[nH]ncc2c1CO)C(=O)O,<smiles>C1CCOC1.CCOC(=O)C[C@H](Cc1cc(Br)c2[nH]ncc2c1CO)C(=O)OCC.Cl.O.[Li]O<smiles/>
2297,Predict the reaction that produces the following product: O=c1[nH]nc(Cl)cc1Br,O=c1[nH]nc(Cl)cc1Br,<smiles>BrBr.CC(=O)O.O=c1ccc(Cl)n[nH]1<smiles/>
2298,Predict the reaction that produces the following product: CCOC(=O)c1ncn(Cc2ccc(F)cc2)n1,CCOC(=O)c1ncn(Cc2ccc(F)cc2)n1,<smiles>CCOC(=O)c1nc[nH]n1.CN(C)C=O.Fc1ccc(CBr)cc1.O=C([O-])[O-]~[K+]~[K+]<smiles/>
2299,Predict the reaction that produces the following product: COc1cc(Nc2nc(C)cc(Oc3cccc(OC(F)(F)F)c3)n2)ccc1-n1cnc(C)c1,COc1cc(Nc2nc(C)cc(Oc3cccc(OC(F)(F)F)c3)n2)ccc1-n1cnc(C)c1,<smiles>COc1cc(N)ccc1-n1cnc(C)c1.Cc1cc(Oc2cccc(OC(F)(F)F)c2)nc(Cl)n1<smiles/>
2300,Predict the reaction that produces the following product: CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccc4c(c3)c(C3CCN(C5CN(C(C)=O)C5)CC3)nn4C)sc2c1-c1ccc(Cl)cc1,CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccc4c(c3)c(C3CCN(C5CN(C(C)=O)C5)CC3)nn4C)sc2c1-c1ccc(Cl)cc1,<smiles>CC(=O)N1CC(=O)C1.CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O~[Na+].CCN(CC)CC.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc(-c3ccc4c(c3)c(C3CCNCC3)nn4C)sc2c1-c1ccc(Cl)cc1.ClCCl.O=C(O)C(F)(F)F<smiles/>
2301,Predict the reaction that produces the following product: C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(S(C)(=O)=NC#N)n1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(S(C)(=O)=NC#N)n1,<smiles>C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(S(C)=O)n1.CN(C)C=O.N#CN=C(Oc1ccccc1)Oc1ccccc1<smiles/>
2302,Predict the reaction that produces the following product: Cc1n[nH]c2cc(Nc3nc4cccc(NCC5CCOCC5)n4n3)ccc12,Cc1n[nH]c2cc(Nc3nc4cccc(NCC5CCOCC5)n4n3)ccc12,<smiles>Cc1n[nH]c2cc(Nc3nc4cccc(Br)n4n3)ccc12.NCC1CCOCC1<smiles/>
2303,Predict the reaction that produces the following product: CN(C(=O)c1cccc(C(O)(c2cccc(O[Si](C)(C)C(C)(C)C)c2)C2CCN(C(=O)OC(C)(C)C)CC2)c1)c1cccc(F)c1,CN(C(=O)c1cccc(C(O)(c2cccc(O[Si](C)(C)C(C)(C)C)c2)C2CCN(C(=O)OC(C)(C)C)CC2)c1)c1cccc(F)c1,<smiles>CC(C)(C)OC(=O)N1CCC(C(O)(c2cccc(O[Si](C)(C)C(C)(C)C)c2)c2cccc(C(=O)O)c2)CC1.CNc1cccc(F)c1<smiles/>
2304,Predict the reaction that produces the following product: CC[C@@H](NC(=O)c1cn(-c2ncc(F)cc2Cl)c2nc(Cl)ccc2c1=O)C(F)(F)F,CC[C@@H](NC(=O)c1cn(-c2ncc(F)cc2Cl)c2nc(Cl)ccc2c1=O)C(F)(F)F,<smiles>CCN(C(C)C)C(C)C.CCOC(C)=O.CC[C@@H](N)C(F)(F)F~Cl.CN(C)C(On1nnc2cccnc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CN(C)C=O.O.O=C(O)c1cn(-c2ncc(F)cc2Cl)c2nc(Cl)ccc2c1=O<smiles/>
2305,Predict the reaction that produces the following product: CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,<smiles>CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)NC(=O)OC(C)(C)C)c1.ClCCl.O=C(O)C(F)(F)F<smiles/>
2306,Predict the reaction that produces the following product: C=C(CNCc1ccc(Cl)nc1)CC1OC(=O)C=C1N1CCCC1,C=C(CNCc1ccc(Cl)nc1)CC1OC(=O)C=C1N1CCCC1,<smiles>C=C(CBr)CC1OC(=O)C=C1N1CCCC1.CC#N.NCc1ccc(Cl)nc1<smiles/>
2307,Predict the reaction that produces the following product: CC(C)(C)OC(=O)Nc1ccsc1C#C[Si](C)(C)C,CC(C)(C)OC(=O)Nc1ccsc1C#C[Si](C)(C)C,<smiles>C#C[Si](C)(C)C.CC(C)(C)OC(=O)Nc1ccsc1I.CCN(CC)CC.CN(C)C=O.Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.[Cu]I<smiles/>
2308,Predict the reaction that produces the following product: CCCc1c(CC(C)C)csc1C(=O)CCc1cc(C)c(OC[C@@H](O)CO)c(C)c1,CCCc1c(CC(C)C)csc1C(=O)CCc1cc(C)c(OC[C@@H](O)CO)c(C)c1,<smiles>CCCc1c(CC(C)C)csc1C(=O)CCc1cc(C)c(O)c(C)c1.CCO.O.O=C([O-])[O-]~[K+]~[K+].OCC(O)CCl<smiles/>
2309,Predict the reaction that produces the following product: Cc1cnc2c(S(C)(=O)=O)cc(Cc3cc(C(=O)NCc4cc5cc[nH]c5cc4F)ccn3)cc2c1,Cc1cnc2c(S(C)(=O)=O)cc(Cc3cc(C(=O)NCc4cc5cc[nH]c5cc4F)ccn3)cc2c1,<smiles>CCN=C=NCCCN(C)C~Cl.CN(C)C=O.Cc1cnc2c(S(C)(=O)=O)cc(Cc3cc(C(=O)O)ccn3)cc2c1.NCc1cc2cc[nH]c2cc1F.O.On1nnc2ccccc21<smiles/>
2310,Predict the reaction that produces the following product: Nc1ncnc2c(CN3C[C@H](CSc4ccccn4)[C@@H](O)C3)c[nH]c12,Nc1ncnc2c(CN3C[C@H](CSc4ccccn4)[C@@H](O)C3)c[nH]c12,<smiles>CC(=O)O[BH-](OC(C)=O)OC(C)=O~[Na+].CCN(CC)CC.ClCCl.Nc1ncnc2c(C=O)c[nH]c12.O=C(O)C(F)(F)F.O=C([O-])O~[Na+].O[C@H]1CNC[C@@H]1CSc1ccccn1<smiles/>
2311,Predict the reaction that produces the following product: FC(F)(F)c1c(OCc2ccccc2)ccc2c1nnn2CC1CC1,FC(F)(F)c1c(OCc2ccccc2)ccc2c1nnn2CC1CC1,<smiles>BrCC1CC1.FC(F)(F)c1c(OCc2ccccc2)ccc2[nH]nnc12<smiles/>
2312,Predict the reaction that produces the following product: CC(=NNC(=O)c1ccccc1)c1ccccc1,CC(=NNC(=O)c1ccccc1)c1ccccc1,<smiles>CC(=O)c1ccccc1.CCO.NNC(=O)c1ccccc1<smiles/>
2313,Predict the reaction that produces the following product: Fc1cc(Br)ccc1CN1CCCC1,Fc1cc(Br)ccc1CN1CCCC1,<smiles>C1CCNC1.CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O~[Na+].ClCCl.O=Cc1ccc(Br)cc1F<smiles/>
2314,Predict the reaction that produces the following product: CSCCC(=O)N(C)c1cnc(-c2cccnc2)s1,CSCCC(=O)N(C)c1cnc(-c2cccnc2)s1,<smiles>CN(C)C=O.CNc1cnc(-c2cccnc2)s1.CSCCC(=O)O.ClCCl.O=C(Cl)C(=O)Cl<smiles/>
2315,Predict the reaction that produces the following product: CC(C)Oc1cc(C(C)(C)C)ccc1C1=N[C@@H](c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)N1C(=O)N1CCN(CCS(C)(=O)=O)CC1~Cl,CC(C)Oc1cc(C(C)(C)C)ccc1C1=N[C@@H](c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)N1C(=O)N1CCN(CCS(C)(=O)=O)CC1~Cl,<smiles>CC(C)Oc1cc(C(C)(C)C)ccc1C1=N[C@@H](c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)N1C(=O)Cl.CS(=O)(=O)CCN1CCNCC1~Cl~Cl<smiles/>
2316,Predict the reaction that produces the following product: CCOC(=O)C(C(=O)OCC)c1cccn(-c2c(C)cc([N+](=O)[O-])cc2C)c1=O,CCOC(=O)C(C(=O)OCC)c1cccn(-c2c(C)cc([N+](=O)[O-])cc2C)c1=O,<smiles>CCOC(=O)CC(=O)OCC.CN(C)C=O.Cc1cc([N+](=O)[O-])cc(C)c1-n1cccc(Br)c1=O.O=C([O-])[O-]~[K+]~[K+].[Cu]I<smiles/>
2317,Predict the reaction that produces the following product: CCOC(=O)c1nc2n(n1)CCN(C(=O)OC(C)(C)C)C2,CCOC(=O)c1nc2n(n1)CCN(C(=O)OC(C)(C)C)C2,<smiles>CC(C)(C)OC(=O)N1CCn2nc(C(=O)O)nc2C1.CCN(C(C)C)C(C)C.CCO.CN(C)C(On1nnc2cccnc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CN(C)C=O.O<smiles/>
2318,Predict the reaction that produces the following product: O=Cc1cccc(I)c1F,O=Cc1cccc(I)c1F,<smiles>C1CCOC1.CC(C)NC(C)C.CN(C)C=O.Fc1ccccc1I.[Li]CCCC<smiles/>
2319,Predict the reaction that produces the following product: COn1c(C)nc2cc(C(c3ccccc3)n3ccnc3)ccc21,COn1c(C)nc2cc(C(c3ccccc3)n3ccnc3)ccc21,<smiles>CCOC(C)=O.CI.CN(C)C=O.Cc1nc2cc(C(c3ccccc3)n3ccnc3)ccc2[nH]1.O.[H-]~[Na+]<smiles/>
2320,Predict the reaction that produces the following product: C#CC(C)(C)Oc1ccc([N+](=O)[O-])cc1,C#CC(C)(C)Oc1ccc([N+](=O)[O-])cc1,<smiles>C#CC(C)(C)O.CC(C)NC(C)C.Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.O=[N+]([O-])c1ccc(Br)cc1.[Cu]I<smiles/>
2321,Predict the reaction that produces the following product: O=C(CBr)C1CCCCCC1,O=C(CBr)C1CCCCCC1,<smiles>Br.BrBr.CC(=O)C1CCCCCC1.CO<smiles/>
2322,Predict the reaction that produces the following product: CC1CCCN1C1CCN(c2ccc(NC(=O)c3cccc(N(C)C)c3)c(C(F)(F)F)c2)C1~O=C(O)C(F)(F)F,CC1CCCN1C1CCN(c2ccc(NC(=O)c3cccc(N(C)C)c3)c(C(F)(F)F)c2)C1~O=C(O)C(F)(F)F,<smiles>CC1CCCN1C1CCN(c2ccc(N)c(C(F)(F)F)c2)C1.CN(C)c1cccc(C(=O)O)c1<smiles/>
2323,Predict the reaction that produces the following product: Cc1cccc(-c2[nH]c(NCc3c(F)cccc3F)nc2-c2ccn3ncnc3c2)n1,Cc1cccc(-c2[nH]c(NCc3c(F)cccc3F)nc2-c2ccn3ncnc3c2)n1,<smiles>Cc1cccc(-c2[nH]c(N)nc2-c2ccn3ncnc3c2)n1.O=Cc1c(F)cccc1F<smiles/>
